Year,Actor,Film Name ,Character,BAFTA,GG,CCA,CFCA,NBRA,NYCCA
2011,Michael Shannon,Take Shelter,,0,0,0,5,0,0
2011,Ryan Gosling,The Ides of March,,0,1,0,0,0,0
2011,Ryan Gosling,Drive,,0,0,1,0,0,0
2011,Leonardo DiCaprio,J.Edger,,0,1,1,0,0,0
2011,Jean Dujardin,The Artist,George Valentin,5,0,1,1,0,0
2011,George Clooney,The Descendants,"Matthew ""Matt"" King",1,5,5,1,5,0
2011,Michael Fassbender,Shame,Brandon Sullivan,1,1,1,1,0,0
2011,Gary Oldman,Tinker Tailor Soldier Spy,George Smiley,1,0,0,1,0,0
2011,Brad Pitt,Moneyball,Billy Beane,1,1,1,0,0,5
2012,Denis Lavant,Holy Motors,,0,0,1,1,0,0
2012,Richard Gere,Arbitrage,,0,1,0,0,0,0
2012,John Hawkes,  The Sessions,,0,1,0,1,0,0
2012,Denzel Washington ,Flight,,0,1,1,1,0,0
2012,Daniel Day-Lewis,Lincoln,Abraham Lincoln,5,5,1,5,0,5
2012,Ben Affleck,Argo,Tony Mendez,1,0,5,0,0,0
2012,Bradley Cooper,Silver Linings Playbook,"Patrick ""Pat"" Solitano, Jr.",1,0,0,0,5,0
2012,Hugh Jackman,Les Misérables,Jean Valjean,1,0,1,0,0,0
2012,Joaquin Phoenix,The Master,Freddie Quell,1,1,1,1,0,0
2013,Idris Elba,Mandela: Long Walk to Freedom,,0,1,0,0,0,0
2013,  Matthew McConaughey †,Dallas Buyers Club,,0,5,5,1,0,0
2013,Chiwetel Ejiofor,12 Years a Slave,Solomon Northup,5,1,1,5,0,0
2013,Christian Bale,American Hustle,Irving Rosenfeld,1,0,1,0,0,0
2013,Bruce Dern,Nebraska,Woody Grant,1,0,1,1,5,0
2013,Leonardo DiCaprio,The Wolf of Wall Street,Jordan Belfort,1,0,0,0,0,0
2013,Robert Redford,All is lost,,0,1,1,1,0,5
2013,Oscar Isaac,  Inside Llewyn Davis,,0,0,0,1,0,0
2013,Tom Hanks,Captain Phillips,Captain Richard Phillips,1,1,1,0,0,0
2014,Steve Carell ,Foxcatcher,,0,1,0,0,0,0
2014,Eddie Redmayne,The Theory of Everything,Stephen Hawking,5,5,1,1,0,0
2014,Benedict Cumberbatch,The Imitation Game,Alan Turing,1,1,1,1,0,0
2014,Ralph Fiennes,The Grand Budapest Hotel,Monsieur Gustave H.,1,0,1,0,0,0
2014,Jake Gyllenhaal,Nightcrawler,"Louis ""Lou"" Bloom",1,1,1,1,0,0
2014,Timothy Spall,Mr.Turner,,0,0,0,0,0,5
2014,David Oyelowo,Selma,,0,1,1,1,0,0
2014,Michael Keaton,Birdman,Riggan Thomson,1,0,5,5,5,0
2015,Will Smith,Concussion,,0,1,0,0,0,0
2015,Leonardo DiCaprio,The Revenant,Hugh Glass,5,5,5,5,0,0
2015,Bryan Cranston,Trumbo,Dalton Trumbo,1,1,1,0,0,0
2015,Michael Keaton,Spotight,,0,0,0,0,0,5
2015,Matt Damon,The Martian,Mark Watney,1,0,1,0,5,0
,Jason Segel,The End of the Tour,,1,0,0,1,0,0
,Christopher Abbott,James White,,0,0,0,1,0,0
2015,Michael Fassbender,Steve Jobs,Steve Jobs,1,1,1,1,0,0
2015,Eddie Redmayne,The Danish Girl,Lili Elbe / Einar Wegener,1,1,1,1,0,0
2015,Johnny Depp,Black Mass,,0,0,1,0,0,0
