Year,Actor,Film Name ,Character,BAFTA,GG,CCA,CFCA,NBRA,NYCCA
2011,Anna Paquin,Margaret,,0,0,0,1,0,0
2011,Kirsten Dunst,Melancholia,,0,0,0,1,0,0
2011,Charlize Theron,  Young Adult ,,0,0,1,0,0,0
2011,Elizabeth Olsen,Martha Marcy May Marlene,,0,0,1,1,0,0
2011,Meryl Streep,The Iron Lady,Margaret Thatcher ,5,5,1,1,0,5
2011,Glenn Close ,Albert Nobbs,,0,1,0,0,0,0
2011,Rooney Mara ,The Girl with the Dragon Tattoo,,0,1,0,0,0,0
2011,Bérénice Bejo,The Artist,Peppy Miller ,1,0,0,0,0,0
2011,Viola Davis,The Help,Aibleen Clark ,1,1,5,0,0,0
2011,Tilda Swinton,We Need to Talk About Kevin,Eva Khatchadourian,1,1,1,0,5,0
2011,Michelle Williams,My Week with Marilyn,Marilyn Monroe ,1,0,1,5,0,0
2011,Rachel Weisz,The Deep Blue Sea,,0,0,0,0,0,5
2011,Helen Hunt,The Sessions,,0,0,0,1,0,0
2012,Naomi Watts ,The Impossible,,0,1,1,1,0,0
2012,Emmanuelle Riva,Amour,Anne Laurent ,5,0,1,1,0,0
2012,Jessica Chastain,Zero Dark Thirty,Maya ,1,5,5,5,5,0
2012,Marion Cotillard,Rust and Bone,Stéphanie,1,1,1,0,0,0
2012,Jennifer Lawrence,Silver Linings Playbook,Tiffany Maxwell ,1,0,1,1,0,0
,Quvenzhané Wallis,Beasts of the Southern Wild,,0,0,1,1,0,0
2012,Helen Mirren,Hitchcock,Alma Reville Hitchcock,1,1,0,1,0,0
2013,Kate Winslet,  Labor Day,,0,1,0,0,0,0
2013,Adèle Exarchopoulos,Blue Is the Warmest Colour,,0,0,0,0,0,0
2013,Cate Blanchett,Blue Jasmine,"Jeanette ""Jasmine"" Francis ",5,5,5,5,0,5
2013,Amy Adams,American Hustle,Sydney Prosser / Lady Edith Greensly ,1,0,0,0,0,0
2013,Sandra Bullock,Gravity,Dr. Ryan Stone ,1,1,1,1,0,0
2013,Meryl Streep,August: Osage County,,0,0,1,0,0,0
2013,Brie Larson,Short Term 12,,0,0,1,1,0,0
2013,Judi Dench,Philomena,Philomena Lee ,1,1,1,1,0,0
2013,Emma Thompson,Saving Mr. Banks,P. L. Travers,1,1,1,1,5,0
2014,Jennifer Aniston,Cake,,0,1,1,1,0,0
2014,Julianne Moore,Still Alice,Dr. Alice Howland ,5,5,5,5,5,0
2014,Amy Adams,Big Eyes,Margaret Keane,1,0,0,0,0,0
2014,Marion Cotillard,"Two Days, One Night",,0,0,1,1,0,5
2014,Felicity Jones,The Theory of Everything,Jane Wilde Hawking ,1,1,1,0,0,0
2014,Scarlett Johansson,Under the Skin,,0,0,0,1,0,0
2014,Rosamund Pike,Gone Girl,Amy Elliott-Dunne ,1,1,1,1,0,0
2014,Reese Witherspoon,Wild,Cheryl Strayed ,1,1,1,1,0,0
2015,Alicia Vikander ,  The Danish Girl,,1,1,0,0,0,0
2015,Jennifer Lawrence,Joy,,0,0,1,0,0,0
2015,Charlize Theron,Mad Max: Fury Road ,,0,0,0,1,0,0
2015,Charlotte Rampling,45 Years,,0,0,1,1,0,0
2015,Brie Larson,Room,"Joy ""Ma"" Newsome ",5,5,5,5,5,0
2015,Cate Blanchett,Carol,Carol Aird ,1,1,1,1,0,0
2015,Saoirse Ronan,Brooklyn,Eilis Lacey ,1,1,1,1,0,5
2015,Maggie Smith,The Lady in the Van,Mary Shepherd / Margaret Fairchild,1,0,0,0,0,0
